Statistics for the A* algorithm

Current state: {'DS': 515, 'MS': 545, 'PCom': 510, 'PM': 500, 'SOC': 520}
Current state: {'DS': 515, 'MS': 545, 'PCom': 510, 'PM': 450, 'SOC': 520}
Current state: {'DS': 515, 'MS': 545, 'PCom': 510, 'PM': 400, 'SOC': 520}
Current state: {'DS': 515, 'MS': 545, 'PCom': 510, 'PM': 350, 'SOC': 520}
Current state: {'DS': 515, 'MS': 545, 'PCom': 510, 'PM': 300, 'SOC': 520}
Current state: {'DS': 515, 'MS': 545, 'PCom': 510, 'PM': 250, 'SOC': 520}
Current state: {'DS': 515, 'MS': 545, 'PCom': 510, 'PM': 200, 'SOC': 520}
Current state: {'DS': 515, 'MS': 545, 'PCom': 510, 'PM': 150, 'SOC': 520}
Current state: {'DS': 515, 'MS': 545, 'PCom': 510, 'PM': 100, 'SOC': 520}
Current state: {'DS': 515, 'MS': 545, 'PCom': 510, 'PM': 50, 'SOC': 520}
Current state: {'DS': 515, 'MS': 545, 'PCom': 510, 'PM': 0, 'SOC': 520}
Current state: {'DS': 515, 'MS': 495, 'PCom': 510, 'PM': 0, 'SOC': 520}
Current state: {'DS': 515, 'MS': 495, 'PCom': 510, 'PM': 0, 'SOC': 470}
Current state: {'DS': 465, 'MS': 495, 'PCom': 510, 'PM': 0, 'SOC': 470}
Current state: {'DS': 465, 'MS': 445, 'PCom': 510, 'PM': 0, 'SOC': 470}
Current state: {'DS': 465, 'MS': 445, 'PCom': 510, 'PM': 0, 'SOC': 420}
Current state: {'DS': 415, 'MS': 445, 'PCom': 510, 'PM': 0, 'SOC': 420}
Current state: {'DS': 415, 'MS': 395, 'PCom': 510, 'PM': 0, 'SOC': 420}
Current state: {'DS': 415, 'MS': 395, 'PCom': 510, 'PM': 0, 'SOC': 370}
Current state: {'DS': 365, 'MS': 395, 'PCom': 510, 'PM': 0, 'SOC': 370}
Current state: {'DS': 365, 'MS': 345, 'PCom': 510, 'PM': 0, 'SOC': 370}
Current state: {'DS': 365, 'MS': 345, 'PCom': 510, 'PM': 0, 'SOC': 320}
Current state: {'DS': 315, 'MS': 345, 'PCom': 510, 'PM': 0, 'SOC': 320}
Current state: {'DS': 315, 'MS': 295, 'PCom': 510, 'PM': 0, 'SOC': 320}
