Statistics for the A* algorithm

Current state: {'DS': 780, 'PCom': 720, 'PM': 750, 'SO': 810}
Current state: {'DS': 780, 'PCom': 630, 'PM': 750, 'SO': 810}
Current state: {'DS': 780, 'PCom': 540, 'PM': 750, 'SO': 810}
Current state: {'DS': 780, 'PCom': 450, 'PM': 750, 'SO': 810}
Current state: {'DS': 780, 'PCom': 360, 'PM': 750, 'SO': 810}
Current state: {'DS': 780, 'PCom': 270, 'PM': 750, 'SO': 810}
Current state: {'DS': 780, 'PCom': 180, 'PM': 750, 'SO': 810}
Current state: {'DS': 780, 'PCom': 90, 'PM': 750, 'SO': 810}
Current state: {'DS': 780, 'PCom': 0, 'PM': 750, 'SO': 810}
Current state: {'DS': 780, 'PCom': 0, 'PM': 660, 'SO': 810}
Current state: {'DS': 690, 'PCom': 0, 'PM': 660, 'SO': 810}
Current state: {'DS': 600, 'PCom': 0, 'PM': 660, 'SO': 810}
Current state: {'DS': 510, 'PCom': 0, 'PM': 660, 'SO': 810}
Current state: {'DS': 420, 'PCom': 0, 'PM': 660, 'SO': 810}
Current state: {'DS': 330, 'PCom': 0, 'PM': 660, 'SO': 810}
Current state: {'DS': 240, 'PCom': 0, 'PM': 660, 'SO': 810}
Current state: {'DS': 150, 'PCom': 0, 'PM': 660, 'SO': 810}
Current state: {'DS': 60, 'PCom': 0, 'PM': 660, 'SO': 810}
Current state: {'DS': 60, 'PCom': 0, 'PM': 570, 'SO': 810}
Current state: {'DS': 60, 'PCom': 0, 'PM': 480, 'SO': 810}
Current state: {'DS': 60, 'PCom': 0, 'PM': 390, 'SO': 810}
Current state: {'DS': 60, 'PCom': 0, 'PM': 300, 'SO': 810}
Current state: {'DS': 60, 'PCom': 0, 'PM': 210, 'SO': 810}
Current state: {'DS': 60, 'PCom': 0, 'PM': 120, 'SO': 810}
Current state: {'DS': 60, 'PCom': 0, 'PM': 30, 'SO': 810}
Current state: {'DS': 60, 'PCom': 0, 'PM': 30, 'SO': 720}
Current state: {'DS': 60, 'PCom': 0, 'PM': 30, 'SO': 630}
Current state: {'DS': 60, 'PCom': 0, 'PM': 30, 'SO': 540}
Current state: {'DS': 60, 'PCom': 0, 'PM': 30, 'SO': 450}
Current state: {'DS': 60, 'PCom': 0, 'PM': 30, 'SO': 360}
Current state: {'DS': 60, 'PCom': 0, 'PM': 30, 'SO': 270}
Current state: {'DS': 45, 'PCom': 0, 'PM': 30, 'SO': 270}
Current state: {'DS': 30, 'PCom': 0, 'PM': 30, 'SO': 270}
Current state: {'DS': 15, 'PCom': 0, 'PM': 30, 'SO': 270}
Current state: {'DS': 0, 'PCom': 0, 'PM': 30, 'SO': 270}
Current state: {'DS': 0, 'PCom': 0, 'PM': 15, 'SO': 270}
Current state: {'DS': 0, 'PCom': 0, 'PM': 0, 'SO': 270}
Current state: {'DS': 0, 'PCom': 0, 'PM': 0, 'SO': 255}
Current state: {'DS': 0, 'PCom': 0, 'PM': 0, 'SO': 240}
Current state: {'DS': 0, 'PCom': 0, 'PM': 0, 'SO': 225}
Current state: {'DS': 0, 'PCom': 0, 'PM': 0, 'SO': 210}
Current state: {'DS': 0, 'PCom': 0, 'PM': 0, 'SO': 195}
Current state: {'DS': 0, 'PCom': 0, 'PM': 0, 'SO': 180}
Current state: {'DS': 0, 'PCom': 0, 'PM': 0, 'SO': 165}
Current state: {'DS': 0, 'PCom': 0, 'PM': 0, 'SO': 150}
Current state: {'DS': 0, 'PCom': 0, 'PM': 0, 'SO': 135}
Current state: {'DS': 0, 'PCom': 0, 'PM': 0, 'SO': 120}
Current state: {'DS': 0, 'PCom': 0, 'PM': 0, 'SO': 105}
Current state: {'DS': 0, 'PCom': 0, 'PM': 0, 'SO': 90}
Current state: {'DS': 0, 'PCom': 0, 'PM': 0, 'SO': 75}
Current state: {'DS': 0, 'PCom': 0, 'PM': 0, 'SO': 60}
Current state: {'DS': 0, 'PCom': 0, 'PM': 0, 'SO': 45}
Current state: {'DS': 0, 'PCom': 0, 'PM': 0, 'SO': 30}
Current state: {'DS': 0, 'PCom': 0, 'PM': 15, 'SO': 255}
Current state: {'DS': 0, 'PCom': 0, 'PM': 15, 'SO': 240}
Current state: {'DS': 0, 'PCom': 0, 'PM': 15, 'SO': 225}
Current state: {'DS': 0, 'PCom': 0, 'PM': 15, 'SO': 210}
Current state: {'DS': 0, 'PCom': 0, 'PM': 15, 'SO': 195}
Current state: {'DS': 0, 'PCom': 0, 'PM': 15, 'SO': 180}
Current state: {'DS': 0, 'PCom': 0, 'PM': 15, 'SO': 165}
Current state: {'DS': 0, 'PCom': 0, 'PM': 15, 'SO': 150}
Current state: {'DS': 0, 'PCom': 0, 'PM': 15, 'SO': 135}
Current state: {'DS': 0, 'PCom': 0, 'PM': 15, 'SO': 120}
Current state: {'DS': 0, 'PCom': 0, 'PM': 15, 'SO': 105}
Current state: {'DS': 0, 'PCom': 0, 'PM': 15, 'SO': 90}
Current state: {'DS': 0, 'PCom': 0, 'PM': 15, 'SO': 75}
Current state: {'DS': 0, 'PCom': 0, 'PM': 15, 'SO': 60}
Current state: {'DS': 0, 'PCom': 0, 'PM': 15, 'SO': 45}
Current state: {'DS': 0, 'PCom': 0, 'PM': 15, 'SO': 30}
Current state: {'DS': 0, 'PCom': 0, 'PM': 15, 'SO': 15}
Current state: {'DS': 0, 'PCom': 0, 'PM': 0, 'SO': 15}
