Statistics for the A* algorithm

Current state: {'AA': 535, 'ASC': 550, 'IA': 475, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 500, 'PM': 475}
Current state: {'AA': 450, 'ASC': 550, 'IA': 475, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 500, 'PM': 475}
Current state: {'AA': 450, 'ASC': 550, 'IA': 475, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 415, 'PM': 475}
Current state: {'AA': 450, 'ASC': 550, 'IA': 390, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 415, 'PM': 475}
Current state: {'AA': 450, 'ASC': 550, 'IA': 390, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 330, 'PM': 475}
Current state: {'AA': 365, 'ASC': 550, 'IA': 390, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 330, 'PM': 475}
Current state: {'AA': 365, 'ASC': 550, 'IA': 305, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 330, 'PM': 475}
Current state: {'AA': 280, 'ASC': 550, 'IA': 305, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 330, 'PM': 475}
Current state: {'AA': 195, 'ASC': 550, 'IA': 305, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 330, 'PM': 475}
Current state: {'AA': 195, 'ASC': 550, 'IA': 220, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 330, 'PM': 475}
Current state: {'AA': 195, 'ASC': 550, 'IA': 135, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 330, 'PM': 475}
Current state: {'AA': 110, 'ASC': 550, 'IA': 135, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 330, 'PM': 475}
Current state: {'AA': 110, 'ASC': 550, 'IA': 50, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 330, 'PM': 475}
Current state: {'AA': 25, 'ASC': 550, 'IA': 50, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 330, 'PM': 475}
Current state: {'AA': 25, 'ASC': 550, 'IA': 50, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 245, 'PM': 475}
Current state: {'AA': 25, 'ASC': 550, 'IA': 50, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 160, 'PM': 475}
Current state: {'AA': 25, 'ASC': 550, 'IA': 50, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 75, 'PM': 475}
Current state: {'AA': 25, 'ASC': 550, 'IA': 50, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 75, 'PM': 390}
Current state: {'AA': 25, 'ASC': 550, 'IA': 50, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 75, 'PM': 305}
Current state: {'AA': 25, 'ASC': 550, 'IA': 50, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 75, 'PM': 220}
Current state: {'AA': 25, 'ASC': 550, 'IA': 50, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 75, 'PM': 135}
Current state: {'AA': 25, 'ASC': 550, 'IA': 50, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 75, 'PM': 50}
Current state: {'AA': 25, 'ASC': 550, 'IA': 50, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 0, 'PM': 50}
Current state: {'AA': 25, 'ASC': 550, 'IA': 0, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 0, 'PM': 50}
Current state: {'AA': 25, 'ASC': 550, 'IA': 0, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 0, 'PM': 0}
Current state: {'AA': 0, 'ASC': 550, 'IA': 0, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 0, 'PM': 0}
Current state: {'AA': 25, 'ASC': 550, 'IA': 0, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 0, 'PM': 20}
Current state: {'AA': 0, 'ASC': 550, 'IA': 0, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 0, 'PM': 20}
Current state: {'AA': 0, 'ASC': 550, 'IA': 0, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 0, 'PM': 50}
Current state: {'AA': 25, 'ASC': 550, 'IA': 50, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 0, 'PM': 0}
Current state: {'AA': 25, 'ASC': 550, 'IA': 20, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 0, 'PM': 0}
Current state: {'AA': 0, 'ASC': 550, 'IA': 20, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 0, 'PM': 0}
Current state: {'AA': 0, 'ASC': 550, 'IA': 50, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 0, 'PM': 0}
Current state: {'AA': 25, 'ASC': 550, 'IA': 20, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 0, 'PM': 50}
Current state: {'AA': 25, 'ASC': 550, 'IA': 20, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 0, 'PM': 20}
Current state: {'AA': 0, 'ASC': 550, 'IA': 20, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 0, 'PM': 20}
Current state: {'AA': 0, 'ASC': 550, 'IA': 20, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 0, 'PM': 50}
Current state: {'AA': 25, 'ASC': 550, 'IA': 50, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 0, 'PM': 20}
Current state: {'AA': 0, 'ASC': 550, 'IA': 50, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 0, 'PM': 20}
Current state: {'AA': 0, 'ASC': 550, 'IA': 50, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 0, 'PM': 50}
Current state: {'AA': 25, 'ASC': 550, 'IA': 0, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 75, 'PM': 50}
Current state: {'AA': 25, 'ASC': 550, 'IA': 0, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 75, 'PM': 0}
Current state: {'AA': 25, 'ASC': 550, 'IA': 0, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 45, 'PM': 0}
Current state: {'AA': 25, 'ASC': 550, 'IA': 0, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 15, 'PM': 0}
Current state: {'AA': 0, 'ASC': 550, 'IA': 0, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 15, 'PM': 0}
Current state: {'AA': 0, 'ASC': 550, 'IA': 0, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 45, 'PM': 0}
Current state: {'AA': 0, 'ASC': 550, 'IA': 0, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 75, 'PM': 0}
Current state: {'AA': 25, 'ASC': 550, 'IA': 0, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 45, 'PM': 50}
Current state: {'AA': 25, 'ASC': 550, 'IA': 0, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 15, 'PM': 50}
Current state: {'AA': 25, 'ASC': 550, 'IA': 0, 'MS': 495, 'PCom': 470, 'PL': 530, 'PP': 15, 'PM': 20}
