Statistics for the A* algorithm

Current state: {'AA': 665, 'MS': 660, 'PL': 660, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 590, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 520, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 450, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 380, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 310, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 240, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 170, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 100, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 30, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 0, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 5, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 65, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 40, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 15, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 75, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 50, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 25, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 135, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 110, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 85, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 60, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 35, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 10, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 145, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 120, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 95, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 70, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 45, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 20, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 205, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 180, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 155, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 130, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 105, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 80, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 55, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 215, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 190, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 165, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 140, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 115, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 90, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 275, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 250, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 225, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 200, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 175, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 150, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 125, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 285, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 260, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 235, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 210, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 185, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 160, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 345, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 320, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 295, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 270, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 245, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 220, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 195, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 355, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 330, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 305, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 280, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 255, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 230, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 415, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 390, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 365, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 340, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 315, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 290, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 265, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 425, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 400, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 375, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 350, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 325, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 300, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 485, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 460, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 435, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 410, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 385, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 360, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 335, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 495, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 470, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 445, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 420, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 395, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 370, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 555, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 530, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 505, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 480, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 455, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 430, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 405, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 565, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 540, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 515, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 490, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 465, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 440, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 625, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 600, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 575, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 550, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 525, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 500, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 475, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 635, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 610, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 585, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 560, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 535, 'SOC': 685}
Current state: {'AA': 665, 'MS': 660, 'PL': 510, 'SOC': 685}
Current state: {'AA': 665, 'MS': 590, 'PL': 0, 'SOC': 685}
Current state: {'AA': 595, 'MS': 590, 'PL': 0, 'SOC': 685}
Current state: {'AA': 525, 'MS': 590, 'PL': 0, 'SOC': 685}
Current state: {'AA': 455, 'MS': 590, 'PL': 0, 'SOC': 685}
Current state: {'AA': 385, 'MS': 590, 'PL': 0, 'SOC': 685}
Current state: {'AA': 315, 'MS': 590, 'PL': 0, 'SOC': 685}
Current state: {'AA': 245, 'MS': 590, 'PL': 0, 'SOC': 685}
Current state: {'AA': 175, 'MS': 590, 'PL': 0, 'SOC': 685}
Current state: {'AA': 105, 'MS': 590, 'PL': 0, 'SOC': 685}
Current state: {'AA': 35, 'MS': 590, 'PL': 0, 'SOC': 685}
Current state: {'AA': 35, 'MS': 520, 'PL': 0, 'SOC': 685}
Current state: {'AA': 35, 'MS': 450, 'PL': 0, 'SOC': 685}
Current state: {'AA': 35, 'MS': 380, 'PL': 0, 'SOC': 685}
Current state: {'AA': 35, 'MS': 310, 'PL': 0, 'SOC': 685}
Current state: {'AA': 35, 'MS': 240, 'PL': 0, 'SOC': 685}
Current state: {'AA': 35, 'MS': 170, 'PL': 0, 'SOC': 685}
Current state: {'AA': 35, 'MS': 100, 'PL': 0, 'SOC': 685}
