fnl,hpw,gain,edu_int,years,loss,relation,country,job,work_type,partner,edu,gender,race,money
264627.0,40.0,0.0,10.0,38.0,0.0,NotM,United-States,Adm-clerical,Priv,D,SC,M,White,<=50K
151369.0,40.0,0.0,9.0,62.0,0.0,NotF,United-States,Craft-repair,LGov,NM,HSG,M,White,<=50K
188615.0,40.0,0.0,13.0,42.0,0.0,H,United-States,Sales,SelfInc,MCS,B,M,White,>50K
151089.0,40.0,0.0,10.0,41.0,0.0,H,United-States,Exec-managerial,SelfInc,MCS,SC,M,White,>50K
177625.0,40.0,0.0,9.0,25.0,0.0,NotF,United-States,Machine-op-inspct,Priv,NM,HSG,M,White,<=50K
178353.0,40.0,0.0,7.0,56.0,0.0,NotF,United-States,Sales,Priv,D,11,F,White,<=50K
101320.0,40.0,0.0,14.0,49.0,0.0,NotF,United-States,Exec-managerial,Priv,D,M,F,White,<=50K
35411.0,40.0,0.0,9.0,59.0,0.0,NotF,United-States,Machine-op-inspct,Priv,W,HSG,F,White,<=50K
93235.0,40.0,0.0,8.0,17.0,0.0,OwnC,United-States,Other-service,Priv,NM,12,F,White,<=50K
232855.0,37.0,0.0,10.0,34.0,0.0,NotM,United-States,Other-service,Priv,S,SC,F,Black,<=50K
120238.0,40.0,0.0,13.0,26.0,0.0,Other,United-States,Sales,Priv,NM,B,M,White,<=50K
218415.0,40.0,0.0,10.0,23.0,0.0,OwnC,United-States,Craft-repair,Priv,NM,SC,F,White,<=50K
30673.0,40.0,0.0,5.0,39.0,0.0,H,United-States,Machine-op-inspct,FGov,MCS,9,M,White,>50K
103344.0,50.0,0.0,13.0,62.0,0.0,NotF,United-States,Exec-managerial,Priv,W,B,M,White,>50K
195282.0,40.0,0.0,9.0,19.0,0.0,OwnC,United-States,Craft-repair,Priv,NM,HSG,F,Black,<=50K
207172.0,40.0,0.0,9.0,33.0,0.0,NotF,United-States,Exec-managerial,FGov,NM,HSG,F,White,<=50K
165030.0,50.0,0.0,10.0,28.0,0.0,NotF,United-States,Exec-managerial,Priv,NM,SC,F,White,<=50K
266287.0,40.0,0.0,10.0,18.0,0.0,OwnC,United-States,Craft-repair,Priv,NM,SC,M,White,<=50K
188236.0,40.0,0.0,9.0,60.0,0.0,NotF,United-States,Craft-repair,Priv,D,HSG,F,White,<=50K
128348.0,50.0,0.0,13.0,69.0,0.0,H,United-States,Exec-managerial,Priv,MCS,B,M,Black,>50K
182898.0,40.0,0.0,9.0,35.0,0.0,NotF,United-States,Adm-clerical,Priv,NM,HSG,M,White,>50K
169878.0,40.0,0.0,12.0,40.0,0.0,W,United-States,Exec-managerial,SelfInc,MCS,AA,F,White,>50K
176831.0,40.0,0.0,13.0,34.0,0.0,NotM,United-States,Prof-specialty,Priv,D,B,F,White,>50K
54260.0,40.0,0.0,16.0,56.0,0.0,NotF,China,Prof-specialty,SGov,MCS,D,M,Asian-Pac-Islander,<=50K
303032.0,40.0,0.0,10.0,31.0,0.0,NotM,United-States,Other-service,Priv,NM,SC,F,Black,<=50K
87054.0,50.0,0.0,9.0,30.0,0.0,H,United-States,Craft-repair,Priv,MCS,HSG,M,White,<=50K
398931.0,50.0,0.0,13.0,36.0,0.0,H,United-States,Prof-specialty,Priv,MCS,B,M,White,>50K
140752.0,40.0,0.0,9.0,35.0,0.0,H,United-States,Craft-repair,SGov,MCS,HSG,M,White,<=50K
55658.0,40.0,0.0,6.0,18.0,0.0,OwnC,United-States,Other-service,LGov,NM,10,M,White,<=50K
322238.0,39.29085575804432,0.0,9.0,29.0,0.0,NotF,United-States,Farming-fishing,SelfNotInc,NM,HSG,M,White,<=50K
267859.0,39.57290464562573,0.0,10.0,33.0,0.0,H,United-States,Protective-serv,LGov,MCS,SC,M,White,<=50K
173175.0,50.0,0.0,13.0,39.0,0.0,H,United-States,Exec-managerial,Priv,MCS,B,M,White,>50K
190325.0,40.0,0.0,7.0,18.0,0.0,OwnC,United-States,Craft-repair,Priv,NM,11,M,White,<=50K
289731.0,40.0,0.0,10.0,31.0,0.0,H,United-States,Craft-repair,Priv,MCS,SC,M,White,<=50K
399904.0,39.03600316797738,0.0,9.0,27.0,0.0,Other,Mexico,Craft-repair,SelfInc,NM,HSG,M,White,<=50K
150371.0,40.0,0.0,9.0,36.0,0.0,NotF,United-States,Craft-repair,SelfNotInc,NM,HSG,M,White,<=50K
37848.0,40.0,0.0,9.0,41.0,0.0,NotM,United-States,Other-service,LGov,NM,HSG,F,White,<=50K
117779.0,40.0,0.0,10.0,24.0,0.0,OwnC,United-States,Exec-managerial,Priv,NM,B,M,White,<=50K
176157.0,50.0,0.0,14.0,50.0,0.0,H,United-States,Exec-managerial,Priv,MCS,M,M,White,>50K
33365.0,40.0,0.0,9.0,62.0,0.0,NotF,Canada,Other-service,LGov,W,HSG,F,White,<=50K
83411.0,40.0,0.0,9.0,41.0,0.0,H,United-States,Other-service,FGov,MCS,HSG,M,White,<=50K
142714.0,38.0,0.0,10.0,57.0,0.0,NotF,United-States,Other-service,Priv,D,SC,F,White,<=50K
295520.0,40.0,0.0,5.0,53.0,0.0,NotM,United-States,Sales,Priv,W,9,F,Black,<=50K
65325.0,50.0,0.0,13.0,56.0,0.0,H,United-States,Adm-clerical,Priv,MCS,B,M,White,<=50K
221661.0,35.0,0.0,9.0,21.0,0.0,OwnC,United-States,Sales,Priv,NM,HSG,F,White,<=50K
